id,nombre,type,latitud,longitud,altura
1,UMG Jocotenango,SCHOOL,14.5781,-90.7392,1540
2,Santuario San Felipe de Jesus,GROUNDS,14.5730,-90.7351,1540
3,Estadio Pensativo,GROUNDS,14.5672,-90.7374,1540
4,Villa Deportiva CDAG,GROUNDS,14.565512,-90.735517,1540
5,IGSS,HOSPITAL,14.563914,-90.735223,1540
6,La Salle,SCHOOL,14.561740,-90.733358,1540
7,Municipalidad de Antigua,GROUNDS,14.557285,-90.733273,1540
8,Romeo & Julieta,RESTAURANT,14.55734,-90.72863,1540
9,Iglesia de La Merced,GROUNDS,14.5601,-90.7336,1540
11,Ta'cool,RESTAURANT,14.557298,-90.735265,1540
12,Hotel Casa Grande,PARKING,14.573048,-90.737412,1540
13,Parque San Sebastian,GROUNDS,14.564266,-90.737396,1540
14,Ermita San Jeronimo,GROUNDS,14.560446,-90.737878,1540
15,McDonalds,RESTAURANT,14.557232,-90.737017,1540
16,Plaza Jocotenango,RESTAURANT,14.574391,-90.738552,1540
17,Plazuela de Jocotenango,GROUNDS,14.574217,-90.741691,1540
18,Jocofut,GROUNDS,14.570696,-90.741458,1540
19,Pimental,GROUNDS,14.565967,-90.739259,1540
20,La Polvora,GROUNDS,14.560795,-90.739201,1540
21,Comedor Los Toreros,RESTAURANT,14.554337,-90.733174,1540
22,Santuario San Francisco,GROUNDS,14.554422,-90.729680,1540
23,Alfred´s Salon y Spa,RESTAURANT,14.554754,-90.728643,1540
